Month,Network,Cov_site,District,Issue,Number_ofCell,Downtime_hour,count_Celldown,AV_down,Type
20220131,4G,VTE0448_KM27_SOMSAVANH2,Xaithani,AC Power,8,8,8,1,Down
20220131,4G,VTE0454_NONGPHAYA_STORE,Xaithani,AC Power,9,41.85,18,2.325,Down
20220131,4G,VTE0456_NABONG_SC,Xaithani,AC Power,7,11.43333333,7,1.633333333,Down
20220131,4G,VTE0457_NAKHUNTHOUNG,Xaithani,AC Power,6,74.4,6,12.4,Down
20220131,4G,VTE0458_NAKHUNTHOUNG2,Xaithani,AC Power,3,36.8,3,12.26666667,Down
20220131,4G,VTE0462_NAPHOK,Xaithani,AC Power,12,8,12,0.666666667,Down
20220131,4G,VTE0469_NONSAART,Xaithani,AC Power,12,12,12,1,Down
20220131,4G,VTE0470_NONSAART_JUDSUN,Xaithani,AC Power,12,17.2,12,1.433333333,Down
20220131,4G,VTE0471_NONSAART_MK,Xaithani,AC Power,11,15.76666667,11,1.433333333,Down
20220131,4G,VTE0477_NONGPHAYA2,Xaithani,AC Power,14,15.16666667,56,0.270833333,Down
20220131,4G,VTE0477_NONGPHAYA2,Xaithani,BTS,14,123.6666667,14,8.833333333,Down
20220131,4G,VTE0483_NONGVIENGKHAM2,Xaithani,AC Power,11,13.38333333,11,1.216666667,Down
20220131,4G,VTE0487_JUMBO,Xaithani,AC Power,12,17.2,12,1.433333333,Down
20220131,4G,VTE0489_NONTHONG,Xaithani,AC Power,6,9.8,12,0.816666667,Down
20220131,4G,VTE0490_NONTHONG_MK,Xaithani,AC Power,11,28.96666667,22,1.316666667,Down
20220131,4G,VTE0500_PAKXAPKAO,Xaithani,AC Power,8,5.466666667,8,0.683333333,Down
20220131,4G,VTE0503_KM19_PHOKHAM,Xaithani,AC Power,9,12,9,1.333333333,Down
20220131,4G,VTE0509_PHONNGARM_THADINDENG2,Xaithani,AC Power,11,20.53333333,11,1.866666667,Down
20220131,4G,VTE0510_PHONPHENG,Xaithani,AC Power,3,1.9,3,0.633333333,Down
20220131,4G,VTE0519_SAISAWANG2,Xaithani,AC Power,11,5.133333333,11,0.466666667,Down
20220131,4G,VTE0520_SAMBONE,Xaithani,AC Power,3,1.9,3,0.633333333,Down
20220131,4G,VTE0523_SANGHUABOR,Xaithani,OPTIC,3,6.85,3,2.283333333,Down
20220131,4G,VTE0526_SAPHANGKANONG2,Xaithani,AC Power,5,22.25,15,1.483333333,Down
20220131,4G,VTE0530_SENOUDOM,Xaithani,AC Power,3,1.85,3,0.616666667,Down
20220131,4G,VTE0532_SIVILAI2_SAYNAMNGERN,Xaithani,AC Power,9,6.9,9,0.766666667,Down
20220131,4G,VTE0535_TADTEVADA,Xaithani,AC Power,8,4,8,0.5,Down
20220131,4G,VTE0542_THANAK,Xaithani,AC Power,7,4.666666667,7,0.666666667,Down
20220131,4G,VTE0544_THANGON,Xaithani,AC Power,15,4.5,15,0.3,Down
20220131,4G,VTE0548_THADUA,Hatxayfong,AC Power,1,5.4,3,1.8,Down
20220131,4G,VTE0549_VITAPARK,Xaithani,AC Power,6,57.7,6,9.616666667,Down
20220131,4G,VTE0561_BEERLAO,Hatxayfong,AC Power,10,60.33333333,40,1.508333333,Down
20220131,4G,VTE0567_DONFAY,Hatxayfong,AC Power,8,44.53333333,24,1.855555556,Down
20220131,4G,VTE0568_DONFAY2,Hatxayfong,AC Power,6,33.4,18,1.855555556,Down
20220131,4G,VTE0574_DONGKHAMXANG4,Hatxayfong,AC Power,11,19.8,11,1.8,Down
20220131,4G,VTE0575_DONGKHAMXANG5,Hatxayfong,AC Power,7,58.45,28,2.0875,Down
20220131,4G,VTE0576_DONGPHONHEA,Hatxayfong,AC Power,14,76.3,70,1.09,Down
20220131,4G,VTE0577_DONGPHONHEA2,Hatxayfong,AC Power,3,0.75,3,0.25,Down
20220131,4G,VTE0578_DONGPHONHEA3,Hatxayfong,AC Power,3,28.2,9,3.133333333,Down
20220131,4G,VTE0579_DONGPHONLAO,Hatxayfong,AC Power,9,74.25,45,1.65,Down
20220131,4G,VTE0580_DONHOR,Hatxayfong,AC Power,9,34.65,27,1.283333333,Down
20220131,4G,VTE0581_GOLFLONGBIEN,Hatxayfong,AC Power,18,38.4,36,1.066666667,Down
20220131,4G,VTE0586_HUAHA,Hatxayfong,OPTIC,6,35.9,6,5.983333333,Down
20220131,4G,VTE0589_KHAMCHALERN,Hatxayfong,AC Power,3,3.45,3,1.15,Down
20220131,4G,VTE0590_KHOKXAY,Hatxayfong,AC Power,6,42.5,30,1.416666667,Down
20220131,4G,VTE0591_KM7_LAMNAO,Hatxayfong,AC Power,13,11.26666667,13,0.866666667,Down
20220131,4G,VTE0593_KM9_SOMVANG,Hatxayfong,AC Power,6,2.3,6,0.383333333,Down
20220131,4G,VTE0595_NAHAI,Hatxayfong,AC Power,9,46.65,18,2.591666667,Down
20220131,4G,VTE0596_NAHAI2,Hatxayfong,AC Power,9,108,27,4,Down
20220131,4G,VTE0601_NONGHAI3,Hatxayfong,AC Power,9,1.5,9,0.166666667,Down
20220131,4G,VTE0604_NONGHEO,Hatxayfong,AC Power,8,24.93333333,8,3.116666667,Down
20220131,4G,VTE0605_NONGHEO2,Hatxayfong,AC Power,6,19.1,6,3.183333333,Down
20220131,4G,VTE0607_NONGPEAN_TAI,Hatxayfong,AC Power,6,1.5,6,0.25,Down
20220131,4G,VTE0608_NONGPEAN_NEUA,Hatxayfong,AC Power,2,14.46666667,6,2.411111111,Down
20220131,4G,VTE0609_NONGPHONG,Hatxayfong,AC Power,8,34.3,14,2.45,Down
20220131,4G,VTE0610_NONGVENG,Hatxayfong,AC Power,9,49.95,9,5.55,Down
20220131,4G,VTE0611_NONGVENG2,Hatxayfong,AC Power,2,11.1,2,5.55,Down
20220131,4G,VTE0612_PAKPENG,Hatxayfong,AC Power,6,5.9,6,0.983333333,Down
20220131,4G,VTE0616_SALAKHAM,Hatxayfong,AC Power,13,101.7666667,13,7.828205128,Down
20220131,4G,VTE0617_SALAKHAM2,Hatxayfong,AC Power,7,19.6,7,2.8,Down
20220131,4G,VTE0618_SALAKHAM3,Hatxayfong,AC Power,7,68.83333333,28,2.458333333,Down
20220131,4G,VTE0619_SIMMANO,Hatxayfong,AC Power,9,8.4,9,0.933333333,Down
20220131,4G,VTE0622_SITHAN_TAI,Hatxayfong,AC Power,6,32.1,18,1.783333333,Down
20220131,4G,VTE0624_SOMSANOOK,Hatxayfong,AC Power,9,48,27,1.777777778,Down
20220131,4G,VTE0625_THADUA,Hatxayfong,AC Power,6,26.6,12,2.216666667,Down
20220131,4G,VTE0628_THAMOUANG,Hatxayfong,AC Power,6,81.4,24,3.391666667,Down
20220131,4G,VTE0629_THAMOUANG2,Hatxayfong,AC Power,10,143.2,66,2.16969697,Down
20220131,4G,VTE0632_THANALEANG_BRIDGE,Hatxayfong,AC Power,6,78.3,36,2.175,Down
20220131,4G,VTE0633_THAPHA,Hatxayfong,AC Power,6,5.6,6,0.933333333,Down
20220131,4G,VTE0635_THINTHEN,Pak-Ngum,AC Power,6,5.6,6,0.933333333,Down
20220131,4G,VTE0636_THINTOM,Hatxayfong,AC Power,9,7.2,27,0.266666667,Down
20220131,4G,VTE0637_TRAINSTATION,Hatxayfong,AC Power,17,97.18333333,68,1.429166667,Down
20220131,4G,VTE0638_XAYFONG_NEUA,Hatxayfong,AC Power,8,62.26666667,40,1.556666667,Down
20220131,4G,VTE0639_XAYFONG_TAI,Hatxayfong,AC Power,6,42,12,3.5,Down
20220131,4G,VTE0640_XIENGKHUAN,Hatxayfong,AC Power,7,50.8,34,1.494117647,Down
20220131,4G,VTE0640_XIENGKHUAN,Hatxayfong,RECTIFIER,7,23.8,7,3.4,Down
20220131,4G,VTE0641_XIENGKHUAN2,Hatxayfong,AC Power,5,59.91666667,10,5.991666667,Down
20220131,4G,VTE0658_PARKTON,Sangthong,AC Power,8,20.66666667,8,2.583333333,Down
20220131,4G,VTE0667_THANASANGHIN,Sangthong,AC Power,3,7.75,3,2.583333333,Down
20220131,4G,VTE0676_SOMSAWATH,Pak-Ngum,AC Power,7,25.55,14,1.825,Down
20220131,4G,VTE0679_BANPHAO,Pak-Ngum,AC Power,6,21.6,6,3.6,Down
20220131,4G,VTE0680_BANPHAO2,Pak-Ngum,AC Power,6,21.6,6,3.6,Down
20220131,4G,VTE0682_DONVANGPHO,Pak-Ngum,AC Power,7,39.31666667,35,1.123333333,Down
20220131,4G,VTE0684_DONHAI,Pak-Ngum,AC Power,7,9.566666667,7,1.366666667,Down
20220131,4G,VTE0685_DONSANGPHAI,Pak-Ngum,AC Power,8,28.66666667,8,3.583333333,Down
20220131,4G,VTE0686_DON_TAI,Pak-Ngum,AC Power,6,1.9,6,0.316666667,Down
20220131,4G,VTE0687_HADVIENGKHAM,Pak-Ngum,AC Power,6,17.1,6,2.85,Down
20220131,4G,VTE0688_HOUYNAMYOUN,Pak-Ngum,AC Power,3,22.3,3,7.433333333,Down
20220131,4G,VTE0698_NAKHAY,Pak-Ngum,AC Power,6,16.3,6,2.716666667,Down
20220131,4G,VTE0699_NALERT,Pak-Ngum,AC Power,6,4.6,6,0.766666667,Down
20220131,4G,VTE0700_NANGARM_MAI,Pak-Ngum,AC Power,6,1.9,6,0.316666667,Down
20220131,4G,VTE0706_NONBUATHONG_KM40,Xaithani,AC Power,6,19.9,18,1.105555556,Down
